source	target	mapping_kind	source_bytes	target_bytes	source_sha256	target_sha256	source_width	source_height	target_width	target_height	same_dimensions	visible_change_ratio	visible_identical_ratio	alpha_change_ratio	visual_mae	dhash_distance	confidence	reason
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_085.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_085.png	same_path	303128	219713	73889e82c2c146e9b09b810b89af3dd007f36f43ce617b02ca50847175444169	e2a02dd42de21c077007441a19e5ea7e2172ba5564e3072d6a0577f50eba21ef	1024	1456	1024	1456	True	0.275871	0.724129	0.0	5.141278	0.035156	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_087.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_087.png	same_path	327518	220021	ab1f9f39f941d7e767b8c4d89e556cd492c46d902355a99fc7bfeebfb88fee11	05004daecd886390e059904aec7050632e4ccb0035e0679b08163aa5d6de8137	1024	1456	1024	1456	True	0.090425	0.909575	0.0	3.234746	0.042969	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_088.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_088.png	same_path	267707	262403	0e3a49ab4dda5a84862bfb843eca578150868b9d071fac88575f59bb7e6f66b0	d785290c86b2860a3a8fe79ae4215100f47b3641cc03d472178d50e488f24c2b	1024	1456	1024	1456	True	0.091639	0.908361	0.0	3.19805	0.050781	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_090.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_090.png	same_path	244513	239754	9c7735065080787113f3c14199f1de37e1465a75467568871228ff35345776ff	536df5d752b0bc2d113d73b1b8047ce5e3212a2b20f93b4d7788ab58524dda77	1024	1456	1024	1456	True	0.049647	0.950353	0.0	2.750415	0.027344	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_091.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_091.png	same_path	220707	214296	74337a18e83a7095331980bf8098f4e397777850b00ca1c196f1916c925b4bc5	55690c3d4fefb82c0615b8220851dd5408be834f7d8b546396225da707fa73cd	1024	1456	1024	1456	True	0.075211	0.924789	0.0	3.5058	0.03125	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_092.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_092.png	same_path	334739	262130	36ffc295d4c71d58f03dfb1e31acb0c4c48da36e36d32f9b613d15cc6f9b6f1c	c397002e20541eb729432ea3e7fefafce27142516472274102b4b901660c07a4	1024	1456	1024	1456	True	0.139913	0.860087	0.0	4.199164	0.070312	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_093.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_093.png	same_path	251946	239463	74648a104a88a4c230149cb3d7c3eb86511cfef214000d24378e5a9988bc7ef8	e70c06e8540aaa66f2195b8d391993f4e6bbc9938bd9fc16a7e9eed7f75d9b7a	1024	1456	1024	1456	True	0.029255	0.970745	0.0	2.28177	0.039062	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_094.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_094.png	same_path	230623	221282	930fcbf06075bd5f6a996b6e0b1c26c076c6e1b5ec49dddacda73790b30f4959	e49c3d26353d94ca789abb270aa46b08983b7e9da63f31f252d2a058ad5cfe79	1024	1456	1024	1456	True	0.043574	0.956426	0.0	3.54917	0.074219	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_095.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_095.png	same_path	212895	204380	754ddf13b039d80082cac9c3c5b78a8bbbf2b86ccf7b3927d1c71185168fb3a0	5dc383f91740f29af3bef3dd69db7dc3f6c3faccd2161ee8b7bcc87de24fc207	1024	1456	1024	1456	True	0.064927	0.935073	0.0	3.03476	0.070312	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
resource/image_web/page/collection/magirepo/img/part2/magirepo_02_096.png	resource/image_web/page/collection/magirepo/img/part2/magirepo_02_096.png	same_path	246658	239928	218628aca2d93c478ef91c3c7afd9fe18ae7ecf1608916248d7a2ff8274dd021	70f322620e1bfc1d931708f58bdcbed4fab22c874a42d6a1aee89a74bb98e5c8	1024	1456	1024	1456	True	0.079682	0.920318	0.0	3.72805	0.039062	high	same path/dimensions; mostly identical rendered pixels; text-oriented path
